Type,Cause,Material,Collapse,Status,Country,Region,Date,temperature_1.9,temperature_1.9.1,temperature_4.5,temperature_7.0,temperature_8.5,cluster
Arch,Design error,Steel,Total,Operational,USA,North America,1944,-0.21122,0.076475,0.12889,-0.02355,0.0656,0
Beam,Flood,Steel,Total,Operational,USA,North America,1996,0.55915,0.558975,0.56673,0.540565,0.5588,0
Truss,Design error,Steel,Partial,Operational,USA,North America,1980,0.13303,0.190515,0.18978,0.18532,0.18086,1
Beam,Flood,Reinforced concrete,Total,Out of service,Dominican Republic,North America,2025,2.75266,1.233155,1.12086,1.15823,1.21809,0
Truss,Collision events,Steel,Partial,Operational,Germany,Europe,1869,0.40503,0.348125,0.21938,0.24437,0.21938,1
Beam,Construction deficiencies,Reinforced concrete,Total,Construction,USA,North America,1952,-0.05472,0.15114,0.15316,0.120605,0.14912,0
Truss,Fire,Steel,Partial,Operational,USA,North America,2017,1.12047,1.179495,1.16717,1.163,1.28349,1
Truss,Flood,Reinforced concrete,Partial,Operational,United Kingdom,Europe,1973,-0.03301,0.147825,0.32878,0.17499,0.22174,1
Arch,Construction deficiencies,Reinforced concrete,Total,Construction,Sweden,Europe,1939,-0.19369,-0.11548,0.14531,-0.130675,0.09545,0
Beam,Fire,Reinforced concrete,Partial,Operational,France,Europe,2017,1.57797,1.514765,1.1823,1.741765,1.57273,0
Suspension,Overloading,Reinforced concrete,Total,Construction,France,Europe,1931,-0.002,-0.30067,-0.002,0.09532,-0.002,0
Truss,Design error,Steel,Total,Operational,USA,North America,1949,0.21447,0.249905,0.28112,0.22729,0.25197,1
Beam,Collision events,Reinforced concrete,Partial,Operational,USA,North America,2013,0.94489,1.04729,1.12986,1.090345,1.12986,0
Beam,Fire,Reinforced concrete,Partial,Operational,USA,North America,2018,1.27376,1.17971,1.25355,1.208535,1.3041,0
Truss,Design error,Steel,Total,Operational,USA,North America,1877,0.15615,0.017725,0.0656,0.125,0.09935,1
Beam,Fire,Reinforced concrete,Partial,Operational,USA,North America,2006,0.795,0.823255,0.82946,0.823255,0.91136,0
Beam,Collision events,Reinforced concrete,Partial,Operational,Norway,Europe,1963,-0.07614,0.404175,0.5813,0.404175,0.38155,0
Arch,Construction deficiencies,Reinforced concrete,Partial,Construction,Germany,Europe,1926,0.78636,0.728465,0.68475,0.728465,0.6895,0
Beam,Flood,Reinforced concrete,Total,Operational,Nigeria,Africa,2017,1.23885,1.211175,1.22231,1.276205,1.26999,0
Arch,Construction deficiencies,Steel,Total,Operational,USA,North America,1887,1.12477,1.096685,1.19433,1.07949,1.20361,0
Truss,Construction deficiencies,Steel,Total,Construction,India,Asia,2023,1.16652,1.228675,1.14985,0.974915,0.91122,1
Arch,Flood,Reinforced concrete,Partial,Operational,Thailand,Asia,1901,0.05879,0.10524,0.03899,0.081655,0.05879,0
Truss,Collision events,Steel,Total,Operational,USA,North America,1947,0.07727,0.26019,0.26669,0.18095,0.2318,1
Beam,Overloading,Steel,Total,Operational,Bahamas,Small islands,2020,2.21305,1.09392,0.89115,0.956225,1.02054,0
Beam,Collision events,Reinforced concrete,Partial,Operational,USA,North America,2021,1.38443,1.32542,1.40299,1.13418,1.22964,0
Truss,Construction deficiencies,Reinforced concrete,Partial,Operational,Corea,Asia,1994,0.00834,0.18827,0.1892,0.17673,0.18827,1
Slab,Flood,Concrete,Total,Operational,Ecuador,South America,2022,1.36579,1.260275,1.32675,1.261255,1.23259,0
Beam,Construction deficiencies,Reinforced concrete,Total,Construction,Japon,Asia,1984,-0.26543,0.015945,0.01009,0.015945,0.015945,0
Suspension,Design error,Reinforced concrete,Total,Operational,USA,North America,1940,0.00594,0.124135,0.17107,0.093425,0.10775,0
Beam,Collision events,Steel,Total,Operational,Australia,Australasia,1977,0.438,0.478195,0.38235,0.478195,0.397065,0
Beam,Design error,Reinforced concrete,Partial,Operational,Austria,Europe,1982,-0.10192,0.137375,0.10798,0.06834,0.10798,0
Beam,Construction deficiencies,Reinforced concrete,Total,Operational,Grenada,Small islands,2015,2.07901,0.9003,0.95674,0.97046,0.93397,0
Truss,Construction deficiencies,Steel,Partial,Operational,Camerun,Africa,2004,1.20993,1.002755,0.9686,0.77004,0.87498,1
Beam,Fire,Steel,Partial,Operational,USA,North America,1884,-0.2441,-0.46761,-0.40362,-0.328865,-0.36085,0
Beam,Flood,Reinforced concrete,Total,Out of service,Cambodia,Asia,2018,1.03846,0.92643,1.0123,0.959065,0.94507,0
Truss,Flood,Composite,Total,Operational,Italy,Europe,2023,1.49184,1.49121,1.52791,1.426955,1.5308,0
Beam,Construction deficiencies,Reinforced concrete,Partial,Construction,USA,North America,1988,0.31552,0.36088,0.37326,0.36895,0.37326,0
Beam,Flood,Steel,Total,Operational,Russia,Europe,2020,1.84413,1.989315,1.8272,1.6226,2.20298,0
Truss,Construction deficiencies,Steel,Total,Construction,France,Europe,1881,0.29037,0.179755,0.27712,0.279045,0.28097,1
Suspension,Design error,Wood,Total,Operational,France,Europe,1850,-0.54792,-0.052655,0.1396,0.051,0.1396,1
Truss,Design error,Steel,Total,Operational,USA,North America,1912,-0.02115,-0.02309,-0.0757,-0.160685,-0.14609,1
Truss,Fire,Steel,Partial,Operational,USA,North America,1926,0.01572,0.0473,0.04793,0.041895,0.04793,1
Arch,Design error,Steel,Total,Operational,USA,North America,2017,1.12047,1.179495,1.16717,1.163,1.28349,0
Truss,Collision events,Steel,Partial,Operational,USA,North America,1924,0.0491,0.066455,0.08381,-0.03394,-0.02116,1
Truss,Collision events,Steel,Total,Operational,USA,North America,2018,1.27376,1.17971,1.25355,1.208535,1.3041,1
Arch,Collision events,Wood,Total,Operational,USA,North America,2005,1.03956,1.021645,1.00373,0.97087,1.00373,0
Beam,Flood,Reinforced concrete,Partial,Operational,Macedonia,Europe,2022,1.60335,1.40914,1.78445,1.61952,1.4907,0
Truss,Construction deficiencies,Steel,Total,Operational,Canada,North America,1916,0.54811,0.36153,0.4032,0.384025,0.36153,1
Beam,Flood,Concrete,Partial,Operational,Ecuador,South America,2014,1.15234,0.902745,0.9002,0.902745,0.87358,0
Beam,Flood,Reinforced concrete,Total,Operational,Algeria,Africa,2007,1.08285,1.144185,1.16706,1.178965,1.16706,0
Beam,Fire,Reinforced concrete,Partial,Operational,USA,North America,2018,1.27376,1.17971,1.25355,1.208535,1.3041,0
Beam,Flood,Concrete,Partial,Operational,Ecuador,Central America,2000,0.41616,0.43571,0.41616,0.44077,0.41616,0
Beam,Construction deficiencies,Reinforced concrete,Partial,Out of service,Yemen,Asia,2024,1.8838,1.942085,1.97745,1.647425,1.9336,0
Beam,Flood,Reinforced concrete,Total,Out of service,Yemen,Asia,2023,1.77671,1.76885,1.68791,1.661165,1.74666,0
Beam,Construction deficiencies,Concrete,Partial,Operational,Ecuador,Central America,2006,0.82411,0.831935,0.73954,0.77952,0.73954,0
Suspension,Overloading,Wood,Total,Operational,Malaysia,Asia,1988,0.0748,0.157955,0.2523,0.229715,0.229715,1
Truss,Design error,Steel,Total,Operational,USA,North America,1996,0.55915,0.558975,0.56673,0.540565,0.5588,1
Beam,Construction deficiencies,Steel,Total,Operational,United Kingdom,Europe,1879,0.83992,0.83122,0.82252,0.82108,0.81964,0
Beam,Overloading,Steel,Total,Operational,United Kingdom,Europe,1860,0.16771,0.26147,0.27329,0.17294,0.27329,0
Truss,Design error,Steel,Total,Operational,USA,North America,1926,0.01572,0.0473,0.04793,0.041895,0.04793,1
Truss,Construction deficiencies,Steel,Total,Construction,Switzerland,Europe,1873,-0.02205,-0.025975,0.07092,-0.09037,-0.02205,1
Truss,Overloading,Steel,Total,Operational,Canada,North America,2020,2.21305,2.50833,2.23086,2.39545,2.296455,1
Truss,Design error,Reinforced concrete,Partial,Operational,USA,North America,2010,1.0008,0.97337,1.00828,0.972885,1.0008,1
Beam,Collision events,Steel,Partial,Operational,Australia,Australasia,1938,0.67344,0.458225,0.43618,0.55875,0.458225,0
Beam,Construction deficiencies,Steel,Total,Construction,India,Asia,2016,0.24725,0.274825,0.24725,0.146725,0.2514,0
Beam,Design error,Reinforced concrete,Partial,Operational,Austria,Europe,1990,0.3049,0.70698,0.49412,0.70698,0.63243,0
Beam,Overloading,Reinforced concrete,Total,Operational,Argentina,Central America,2014,0.50736,0.589625,0.80182,0.68137,0.82771,0
Truss,Construction deficiencies,Steel,Total,Operational,USA,North America,1894,0.0291,-0.047145,-0.09726,-0.047145,-0.05756,1
Beam,Fire,Reinforced concrete,Partial,Operational,USA,North America,1949,0.21447,0.249905,0.28112,0.22729,0.25197,0
Beam,Flood,Reinforced concrete,Partial,Operational,Australia,Australasia,2013,0.81656,0.81901,0.81656,0.77286,0.79671,0
Beam,Overloading,Reinforced concrete,Total,Operational,Jamaica,Small islands,2024,2.58803,1.15496,1.20863,1.04377,1.13041,0
Beam,Flood,Reinforced concrete,Total,Operational,Rumania,Europe,2018,1.53742,1.651025,1.95088,2.28703,2.04124,0
Beam,Flood,Composite,Total,Out of service,Tajikistan,Asia,2019,1.68875,1.584225,1.69901,0.39205,1.79845,0
Beam,Flood,Reinforced concrete,Partial,Operational,Italy,Europe,2023,1.49184,1.49121,1.52791,1.426955,1.5308,0
Truss,Construction deficiencies,Reinforced concrete,Partial,Operational,Germany,Europe,1960,0.05119,0.142195,0.29699,0.142195,0.15425,1
Beam,Design error,Concrete,Total,Operational,Ecuador,South America,2018,1.00471,1.198835,1.09325,1.460845,1.15971,0
Beam,Fire,Reinforced concrete,Partial,Operational,USA,North America,2015,1.12477,1.096685,1.19433,1.07949,1.20361,0
Beam,Construction deficiencies,Reinforced concrete,Total,Construction,Australia,Australasia,1970,-0.16381,0.25031,0.48413,0.31559,0.21034,0
Beam,Design error,Concrete,Total,Operational,Ecuador,South America,2018,1.00471,1.198835,1.09325,1.460845,1.15971,0
Truss,Collision events,Steel,Total,Operational,USA,North America,1937,0.01984,0.16003,0.20457,0.171525,0.17602,1
Suspension,Fire,Steel,Partial,Operational,USA,North America,2005,1.03956,1.021645,1.00373,0.97087,1.00373,1
Truss,Flood,Steel,Total,Construction,USA,North America,1985,0.25802,0.258715,0.26773,0.27387,0.28001,1
Beam,Construction deficiencies,Reinforced concrete,Total,Construction,Austria,Europe,1970,-0.79116,-0.251375,-0.44234,-0.06924,-0.07807,0
Arch,Design error,Steel,Total,Operational,USA,North America,1946,0.09774,0.182645,0.21201,0.12551,0.19823,0
Suspension,Design error,Steel,Total,Operational,USA,North America,1967,-0.01243,0.112205,0.11853,0.11211,0.10588,1
Beam,Construction deficiencies,Reinforced concrete,Total,Construction,South Africa,Africa,2015,1.10664,1.15054,1.05589,1.240505,1.05788,0
Beam,Fire,Reinforced concrete,Partial,Operational,USA,North America,1989,0.30332,0.43644,0.56164,0.43644,0.46482,0
Truss,Overloading,Steel,Total,Construction,Buthan,Asia,2023,1.16652,1.228675,1.14985,0.974915,0.91122,1
Truss,Fire,Steel,Partial,Operational,Spain,Europe,1947,-0.0349,0.17332,0.21379,0.044895,0.15532,1
Beam,Fire,Reinforced concrete,Partial,Operational,USA,North America,1964,-0.0079,0.00415,0.05801,0.00415,-0.0079,0
Arch,Collision events,Steel,Partial,Operational,USA,North America,2011,0.9702,0.92231,0.94214,0.934685,0.94214,0
Truss,Design error,Steel,Partial,Operational,Austria,Europe,1982,0.38845,0.40664,0.42513,0.478335,0.46442,1
Beam,Design error,Reinforced concrete,Partial,Operational,USA,North America,1999,0.47822,0.620025,0.69233,0.67949,0.66665,0
Beam,Design error,Concrete,Total,Operational,Ecuador,South America,2020,1.65745,1.40344,1.12028,1.289895,1.33282,0
Arch,Fire,Steel,Partial,Operational,USA,North America,1982,0.09909,0.10269,0.18449,0.063445,0.09909,0
Truss,Collision events,Wood,Total,Operational,USA,North America,1859,0.01059,0.07198,0.08753,0.04956,0.11762,1
Beam,Fire,Steel,Partial,Operational,Russia,Europe,1906,-0.9058,-0.724705,-0.73775,-0.41108,-0.71166,0
Beam,Flood,Reinforced concrete,Partial,Out of service,Iran,Asia,2023,1.77671,1.76885,1.68791,1.661165,1.74666,0
Arch,Construction deficiencies,Steel,Partial,Operational,Belgium,Europe,1940,-0.013,0.07813,0.1783,0.069875,0.14682,0
Beam,Flood,Prestressed concrete,Total,Operational,Central African Republic,Africa,2016,1.0712,1.127325,1.03334,0.87143,1.13492,0
Suspension,Overloading,Reinforced concrete,Partial,Operational,United Kingdom,Europe,1978,0.00448,0.45533,0.4609,0.35473,0.44976,0
Truss,Collision events,Iron,Partial,Operational,Burkina,Africa,2016,0.99857,1.184435,1.11846,1.165575,1.30125,1
Cable-stayed,Overloading,Composite,Partial,Out of service,Uzbekistan,Asia,2015,1.43234,1.62501,1.57548,0.2428,1.521,0
Arch,Design error,Steel,Partial,Operational,USA,North America,2015,1.12477,1.096685,1.19433,1.07949,1.20361,0
Beam,Construction deficiencies,Reinforced concrete,Partial,Operational,Moroco,Africa,2018,1.30609,1.48244,1.5055,1.64371,1.6556,0
Truss,Construction deficiencies,Steel,Total,Construction,Japon,Asia,1991,-0.4252,-0.033375,0.02881,0.015505,0.015505,1
Beam,Fire,Reinforced concrete,Partial,Operational,USA,North America,1964,-0.0079,0.00415,0.05801,0.00415,-0.0079,0
Beam,Flood,Reinforced concrete,Total,Operational,Benin,Africa,2022,1.36937,1.462685,1.27947,1.37744,1.40452,0
Truss,Overloading,Steel,Partial,Construction,Qatar,Asia,2013,1.26306,1.27813,1.42,1.220175,1.42,1
Beam,Flood,Reinforced concrete,Total,Out of service,Zimbabwe,Africa,2025,1.4065,1.454585,1.35131,1.452015,1.58366,0
Truss,Flood,Steel,Total,Operational,USA,North America,1982,0.09909,0.10269,0.18449,0.063445,0.09909,1
Arch,Collision events,Steel,Partial,Operational,USA,North America,1945,0.171,0.257445,0.2302,0.18414,0.27712,0
Truss,Fire,Steel,Partial,Operational,USA,North America,1953,0.13221,0.150925,0.15186,0.14943,0.20032,1
Beam,Collision events,Reinforced concrete,Partial,Operational,China,Asia,2007,0.7542,0.74042,0.73826,0.74042,0.733715,0
Beam,Construction deficiencies,Wood,Total,Operational,USA,North America,1921,-0.02214,0.060425,0.11669,0.074825,0.05214,0
Arch,Flood,Rock,Partial,Operational,Spain,Europe,1971,-0.22572,-0.17599,-0.06294,-0.10537,-0.20418,0
Beam,Flood,Reinforced concrete,Total,Operational,Central African Republic,Africa,2013,1.05783,1.009605,1.01711,0.835015,1.05424,0
Truss,Collision events,Steel,Total,Operational,Germany,Europe,2015,0.96894,1.78409,1.65721,1.445855,1.41198,1
Truss,Collision events,Steel,Total,Operational,USA,North America,1930,-0.00342,0.000435,0.03362,-0.001615,0.06808,1
Truss,Flood,Reinforced concrete,Partial,Operational,United Kingdom,Europe,2009,1.59433,1.28474,1.42639,1.54335,1.32232,1
Truss,Collision events,Steel,Partial,Operational,Denmark,Europe,1935,0.06092,0.139565,-0.08327,0.139565,0.21821,1
Beam,Construction deficiencies,Steel,Total,Construction,Paises Bajos,Europe,1967,-0.22926,0.03185,-0.19025,-0.26828,-0.19025,0
Beam,Fire,Reinforced concrete,Partial,Operational,USA,North America,1999,0.47822,0.620025,0.69233,0.67949,0.66665,0
Slab,Design error,Concrete,Total,Operational,Ecuador,South America,2016,1.28313,1.19128,1.10069,1.242975,1.25728,0
Beam,Fire,Steel,Partial,Operational,China,Asia,1944,0.1977,0.019425,0.02504,0.03447,0.040085,0
Truss,Flood,Steel,Total,Operational,Austria,Europe,1886,-0.10544,-0.21955,-0.30223,-0.11992,-0.13687,1
Truss,Construction deficiencies,Steel,Total,Out of service,Buthan,Asia,2013,0.77254,0.88031,0.86119,0.75995,0.86119,1
Suspension,Overloading,Steel,Total,Out of service,Cambodia,Asia,2015,0.81787,0.85707,0.89189,0.81926,0.82838,1
Arch,Design error,Reinforced concrete,Partial,Operational,USA,North America,2018,1.27376,1.17971,1.25355,1.208535,1.3041,0
Suspension,Overloading,Steel,Partial,Operational,Chile,South America,2016,0.69761,0.812715,0.85576,0.715765,0.87178,1
Truss,Design error,Steel,Total,Operational,France,Europe,1884,0.15725,-0.68812,-0.55213,-0.456935,-0.55213,1
Beam,Construction deficiencies,Reinforced concrete,Partial,Construction,Italy,Europe,2018,1.1134,1.3816,1.31495,1.13993,1.35073,0
Truss,Collision events,Reinforced concrete,Total,Operational,USA,North America,2001,0.66557,0.84351,0.93102,0.84351,0.93102,1
Beam,Construction deficiencies,Reinforced concrete,Total,Construction,Germany,Europe,1940,0.40277,0.06305,0.08299,0.074985,0.116255,0
Beam,Overloading,Wood,Total,Operational,Ecuador,South America,2009,1.26101,0.870905,0.84682,0.93909,0.82792,0
Truss,Design error,Reinforced concrete,Total,Operational,Germany,Europe,1913,-0.45968,-0.48285,-0.45968,-0.48285,-0.45968,1
Truss,Construction deficiencies,Steel,Partial,Operational,Canada,North America,2003,1.88408,1.63863,1.84148,1.70504,1.796925,1
Truss,Collision events,Steel,Partial,Operational,USA,North America,2009,0.96703,0.98269,0.99838,0.98296,0.99835,1
Truss,Overloading,Steel,Partial,Operational,Ecuador,South America,2017,1.2477,1.04087,1.29801,1.131355,1.10789,1
Beam,Construction deficiencies,Reinforced concrete,Total,Construction,Canada,North America,1966,0.40277,0.06305,0.08299,0.074985,0.116255,0
Beam,Construction deficiencies,Reinforced concrete,Partial,Operational,United Kingdom,Europe,1967,0.95171,0.96303,0.97286,0.965305,0.97286,0
Truss,Construction deficiencies,Reinforced concrete,Partial,Out of service,Thailand,Asia,2023,1.07505,1.11481,1.08542,1.146225,1.12926,1
Arch,Flood,Reinforced concrete,Partial,Operational,Albania,Europe,2022,1.60335,1.40914,1.78445,1.61952,1.4907,0
Beam,Construction deficiencies,Reinforced concrete,Partial,Construction,Germany,Europe,1995,-0.22693,0.222965,0.35001,0.374855,0.35001,0
Beam,Construction deficiencies,Reinforced concrete,Total,Construction,Jordan,Asia,2003,1.06424,0.89905,1.01453,1.0457,1.01453,0
Truss,Flood,Steel,Total,Operational,Ghana,Africa,2024,1.73924,1.552,1.55315,1.42252,1.50216,1
Beam,Design error,Steel,Partial,Operational,United Kingdom,Europe,2018,2.08255,1.608745,1.6046,1.68345,1.75643,0
